Base Decision Tree Model

9531, pred: pos, actual: neg BAD
9532, pred: pos, actual: pos GOOD
9533, pred: pos, actual: neg BAD
9534, pred: pos, actual: pos GOOD
9535, pred: pos, actual: pos GOOD
9536, pred: neg, actual: neg GOOD
9537, pred: pos, actual: pos GOOD
9538, pred: neg, actual: neg GOOD
9539, pred: pos, actual: neg BAD
9540, pred: neg, actual: neg GOOD
9541, pred: neg, actual: neg GOOD
9542, pred: pos, actual: pos GOOD
9543, pred: neg, actual: neg GOOD
9544, pred: neg, actual: neg GOOD
9545, pred: neg, actual: pos BAD
9546, pred: pos, actual: pos GOOD
9547, pred: pos, actual: pos GOOD
9548, pred: pos, actual: pos GOOD
9549, pred: pos, actual: neg BAD
9550, pred: pos, actual: pos GOOD
9551, pred: neg, actual: pos BAD
9552, pred: pos, actual: pos GOOD
9553, pred: neg, actual: neg GOOD
9554, pred: neg, actual: pos BAD
9555, pred: neg, actual: neg GOOD
9556, pred: neg, actual: pos BAD
9557, pred: neg, actual: pos BAD
9558, pred: neg, actual: neg GOOD
9559, pred: pos, actual: pos GOOD
9560, pred: pos, actual: pos GOOD
9561, pred: pos, actual: pos GOOD
9562, pred: neg, actual: pos BAD
9563, pred: pos, actual: pos GOOD
9564, pred: neg, actual: neg GOOD
9565, pred: pos, actual: pos GOOD
9566, pred: neg, actual: pos BAD
9567, pred: pos, actual: pos GOOD
9568, pred: neg, actual: neg GOOD
9569, pred: neg, actual: neg GOOD
9570, pred: neg, actual: neg GOOD
9571, pred: neg, actual: neg GOOD
9572, pred: neg, actual: neg GOOD
9573, pred: neg, actual: neg GOOD
9574, pred: neg, actual: pos BAD
9575, pred: pos, actual: pos GOOD
9576, pred: neg, actual: pos BAD
9577, pred: neg, actual: neg GOOD
9578, pred: neg, actual: neg GOOD
9579, pred: pos, actual: neg BAD
9580, pred: pos, actual: pos GOOD
9581, pred: neg, actual: pos BAD
9582, pred: pos, actual: neg BAD
9583, pred: neg, actual: pos BAD
9584, pred: neg, actual: neg GOOD
9585, pred: neg, actual: neg GOOD
9586, pred: neg, actual: pos BAD
9587, pred: neg, actual: pos BAD
9588, pred: neg, actual: neg GOOD
9589, pred: neg, actual: pos BAD
9590, pred: neg, actual: neg GOOD
9591, pred: pos, actual: neg BAD
9592, pred: pos, actual: neg BAD
9593, pred: neg, actual: neg GOOD
9594, pred: pos, actual: neg BAD
9595, pred: pos, actual: neg BAD
9596, pred: neg, actual: neg GOOD
9597, pred: pos, actual: neg BAD
9598, pred: pos, actual: pos GOOD
9599, pred: neg, actual: neg GOOD
9600, pred: neg, actual: pos BAD
9601, pred: neg, actual: neg GOOD
9602, pred: pos, actual: pos GOOD
9603, pred: neg, actual: neg GOOD
9604, pred: pos, actual: neg BAD
9605, pred: pos, actual: pos GOOD
9606, pred: neg, actual: neg GOOD
9607, pred: pos, actual: pos GOOD
9608, pred: pos, actual: pos GOOD
9609, pred: neg, actual: neg GOOD
9610, pred: neg, actual: pos BAD
9611, pred: neg, actual: neg GOOD
9612, pred: neg, actual: neg GOOD
9613, pred: neg, actual: neg GOOD
9614, pred: neg, actual: pos BAD
9615, pred: neg, actual: neg GOOD
9616, pred: neg, actual: neg GOOD
9617, pred: pos, actual: pos GOOD
9618, pred: pos, actual: pos GOOD
9619, pred: pos, actual: pos GOOD
9620, pred: neg, actual: neg GOOD
9621, pred: pos, actual: pos GOOD
9622, pred: pos, actual: pos GOOD
9623, pred: neg, actual: neg GOOD
9624, pred: neg, actual: neg GOOD
9625, pred: pos, actual: pos GOOD
9626, pred: neg, actual: pos BAD
9627, pred: neg, actual: neg GOOD
9628, pred: pos, actual: neg BAD
9629, pred: neg, actual: neg GOOD
9630, pred: neg, actual: pos BAD
9631, pred: neg, actual: neg GOOD
9632, pred: neg, actual: neg GOOD
9633, pred: pos, actual: neg BAD
9634, pred: neg, actual: neg GOOD
9635, pred: pos, actual: neg BAD
9636, pred: neg, actual: neg GOOD
9637, pred: neg, actual: neg GOOD
9638, pred: pos, actual: pos GOOD
9639, pred: pos, actual: pos GOOD
9640, pred: pos, actual: neg BAD
9641, pred: neg, actual: neg GOOD
9642, pred: pos, actual: pos GOOD
9643, pred: pos, actual: pos GOOD
9644, pred: pos, actual: pos GOOD
9645, pred: neg, actual: pos BAD
9646, pred: pos, actual: pos GOOD
9647, pred: neg, actual: neg GOOD
9648, pred: pos, actual: pos GOOD
9649, pred: pos, actual: pos GOOD
9650, pred: neg, actual: neg GOOD
9651, pred: pos, actual: neg BAD
9652, pred: neg, actual: pos BAD
9653, pred: neg, actual: neg GOOD
9654, pred: neg, actual: neg GOOD
9655, pred: neg, actual: neg GOOD
9656, pred: pos, actual: neg BAD
9657, pred: neg, actual: pos BAD
9658, pred: neg, actual: pos BAD
9659, pred: pos, actual: neg BAD
9660, pred: neg, actual: pos BAD
9661, pred: neg, actual: neg GOOD
9662, pred: pos, actual: pos GOOD
9663, pred: pos, actual: pos GOOD
9664, pred: neg, actual: neg GOOD
9665, pred: pos, actual: neg BAD
9666, pred: pos, actual: pos GOOD
9667, pred: pos, actual: neg BAD
9668, pred: pos, actual: pos GOOD
9669, pred: pos, actual: neg BAD
9670, pred: neg, actual: pos BAD
9671, pred: pos, actual: pos GOOD
9672, pred: pos, actual: pos GOOD
9673, pred: neg, actual: neg GOOD
9674, pred: neg, actual: neg GOOD
9675, pred: pos, actual: neg BAD
9676, pred: neg, actual: neg GOOD
9677, pred: pos, actual: pos GOOD
9678, pred: neg, actual: pos BAD
9679, pred: pos, actual: neg BAD
9680, pred: pos, actual: pos GOOD
9681, pred: pos, actual: neg BAD
9682, pred: neg, actual: neg GOOD
9683, pred: pos, actual: pos GOOD
9684, pred: neg, actual: neg GOOD
9685, pred: pos, actual: neg BAD
9686, pred: pos, actual: pos GOOD
9687, pred: pos, actual: pos GOOD
9688, pred: pos, actual: pos GOOD
9689, pred: pos, actual: neg BAD
9690, pred: pos, actual: pos GOOD
9691, pred: pos, actual: pos GOOD
9692, pred: pos, actual: pos GOOD
9693, pred: pos, actual: neg BAD
9694, pred: pos, actual: neg BAD
9695, pred: pos, actual: pos GOOD
9696, pred: neg, actual: pos BAD
9697, pred: neg, actual: neg GOOD
9698, pred: neg, actual: neg GOOD
9699, pred: neg, actual: neg GOOD
9700, pred: neg, actual: neg GOOD
9701, pred: pos, actual: pos GOOD
9702, pred: pos, actual: pos GOOD
9703, pred: neg, actual: neg GOOD
9704, pred: pos, actual: neg BAD
9705, pred: neg, actual: pos BAD
9706, pred: pos, actual: pos GOOD
9707, pred: pos, actual: pos GOOD
9708, pred: neg, actual: neg GOOD
9709, pred: pos, actual: pos GOOD
9710, pred: pos, actual: pos GOOD
9711, pred: pos, actual: pos GOOD
9712, pred: neg, actual: neg GOOD
9713, pred: pos, actual: neg BAD
9714, pred: neg, actual: pos BAD
9715, pred: neg, actual: neg GOOD
9716, pred: neg, actual: neg GOOD
9717, pred: pos, actual: pos GOOD
9718, pred: neg, actual: neg GOOD
9719, pred: pos, actual: pos GOOD
9720, pred: neg, actual: neg GOOD
9721, pred: pos, actual: neg BAD
9722, pred: pos, actual: neg BAD
9723, pred: pos, actual: neg BAD
9724, pred: neg, actual: neg GOOD
9725, pred: neg, actual: neg GOOD
9726, pred: neg, actual: neg GOOD
9727, pred: pos, actual: pos GOOD
9728, pred: neg, actual: neg GOOD
9729, pred: pos, actual: pos GOOD
9730, pred: pos, actual: pos GOOD
9731, pred: neg, actual: neg GOOD
9732, pred: pos, actual: pos GOOD
9733, pred: neg, actual: neg GOOD
9734, pred: neg, actual: pos BAD
9735, pred: pos, actual: pos GOOD
9736, pred: pos, actual: neg BAD
9737, pred: neg, actual: neg GOOD
9738, pred: pos, actual: pos GOOD
9739, pred: neg, actual: neg GOOD
9740, pred: pos, actual: pos GOOD
9741, pred: neg, actual: pos BAD
9742, pred: pos, actual: pos GOOD
9743, pred: pos, actual: neg BAD
9744, pred: pos, actual: pos GOOD
9745, pred: pos, actual: pos GOOD
9746, pred: neg, actual: neg GOOD
9747, pred: neg, actual: pos BAD
9748, pred: neg, actual: neg GOOD
9749, pred: pos, actual: pos GOOD
9750, pred: neg, actual: neg GOOD
9751, pred: neg, actual: neg GOOD
9752, pred: pos, actual: pos GOOD
9753, pred: neg, actual: neg GOOD
9754, pred: pos, actual: pos GOOD
9755, pred: pos, actual: pos GOOD
9756, pred: neg, actual: neg GOOD
9757, pred: pos, actual: neg BAD
9758, pred: pos, actual: neg BAD
9759, pred: pos, actual: pos GOOD
9760, pred: neg, actual: neg GOOD
9761, pred: neg, actual: neg GOOD
9762, pred: pos, actual: neg BAD
9763, pred: neg, actual: neg GOOD
9764, pred: neg, actual: pos BAD
9765, pred: pos, actual: neg BAD
9766, pred: neg, actual: neg GOOD
9767, pred: neg, actual: pos BAD
9768, pred: pos, actual: pos GOOD
9769, pred: neg, actual: pos BAD
9770, pred: neg, actual: neg GOOD
9771, pred: neg, actual: pos BAD
9772, pred: pos, actual: neg BAD
9773, pred: neg, actual: neg GOOD
9774, pred: neg, actual: neg GOOD
9775, pred: pos, actual: pos GOOD
9776, pred: neg, actual: neg GOOD
